iter	Passed	Remaining
0	1	151
1	2	118
2	3	107
3	3	95
4	4	92
5	5	89
6	6	87
7	7	85
8	8	85
9	9	83
10	10	82
11	11	81
12	11	80
13	12	78
14	13	77
15	14	76
16	16	78
17	16	77
18	17	75
19	18	74
20	19	73
21	20	71
22	21	70
23	21	69
24	23	69
25	24	68
26	25	68
27	26	68
28	27	67
29	28	67
30	30	67
31	31	66
32	31	64
33	32	63
34	33	62
35	34	61
36	35	59
37	35	58
38	36	57
39	37	56
40	38	54
41	38	53
42	39	52
43	40	51
44	40	49
45	41	48
46	42	47
47	43	46
48	44	45
49	45	45
50	46	44
51	47	43
52	48	42
53	48	41
54	49	40
55	50	39
56	51	38
57	51	37
58	52	36
59	53	35
60	54	34
61	55	33
62	56	32
63	56	31
64	57	31
65	58	30
66	59	29
67	60	28
68	61	27
69	61	26
70	62	25
71	63	24
72	64	23
73	65	22
74	65	21
75	66	21
76	67	20
77	68	19
78	69	18
79	70	17
80	70	16
81	71	15
82	72	14
83	73	13
84	74	13
85	74	12
86	76	11
87	77	10
88	77	9
89	78	8
90	79	7
91	80	6
92	80	6
93	81	5
94	82	4
95	83	3
96	83	2
97	84	1
98	85	0
99	86	0
